date,open,high,low,close,volume
2021-05-03,66.88,67.34,66.6,66.7,10772317
2021-05-04,66.64,66.76,66.02,66.46,11722800
2021-05-05,66.46,66.46,64.98,65.34,11781422
2021-05-06,65.52,65.9,65.08,65.84,11652703
2021-05-07,65.8,66.54,65.78,66.04,9055400
2021-05-10,66.18,67.38,66.18,66.7,13221146
2021-05-11,66.64,66.74,65.44,65.9,14105064
2021-05-12,65.82,65.82,64.32,64.34,14776900
2021-05-13,64.42,65.98,64.38,65.6,14111400
2021-05-14,65.76,66.32,65.76,65.92,9455400
2021-05-17,65.88,66.26,65.28,65.38,12562009
2021-05-18,65.24,65.58,65.06,65.36,9766200
2021-05-19,65.06,65.3,64.48,65.26,13119040
2021-05-20,65.38,66.22,65.34,65.82,12839800
2021-05-21,65.98,66.4,65.7,66.16,10243938
2021-05-24,66.48,66.6,66,66.04,9671517
2021-05-25,66.12,66.12,65.1,65.24,10213700
2021-05-26,65.28,65.52,65.06,65.26,8420815
2021-05-27,65.48,65.48,64.8,64.82,8498267
2021-05-28,65.2,65.4,64.96,65.16,9782719
2021-06-01,65.32,65.46,64.62,64.76,11026162
2021-06-02,64.86,65.46,64.6,65.1,10245865
2021-06-03,64.8,65.7,64.58,65.48,11853846
2021-06-04,65.66,65.76,65.3,65.4,7234803
2021-06-07,65.46,65.62,65.34,65.52,6911208
2021-06-08,65.66,65.7,64.68,64.96,9181908
2021-06-09,65.12,65.66,64.98,65.54,9380404
2021-06-10,65.58,66.04,65.42,65.96,8327314
2021-06-11,65.96,66.16,65.66,66.12,9099544
2021-06-14,66.12,66.42,65.84,66.26,6866569
2021-06-15,66.34,66.82,66.14,66.46,16390527
2021-06-16,66.62,66.86,65.42,65.46,23138800
2021-06-17,65.4,66.18,65.2,65.82,12854421
2021-06-18,65.44,65.48,64,64.1,18039900
2021-06-21,63.82,64.6,63.46,64.44,13943310
2021-06-22,64.44,64.62,64.02,64.04,8304327
2021-06-23,64,64,63.18,63.36,12833238
