Count: 252, Range: 2025-04-24 to 2026-04-24

=== GLD Daily Historical Prices - Past 365 Days ===
Open (oldest): $306.98
Close (latest): $433.54
52-Week High: $509.70
52-Week Low: $291.78
Avg Daily Volume: 13,750,224
Daily Return Std Dev: 1.71%
Annualized Volatility: 27.20%
Avg Daily Return: 0.1510%
Period Return: 40.73%

--- CSV Data ---
Date,Open,High,Low,Close,Volume
2025-04-24,306.98,308.5,304.71,308.07,10845000
2025-04-25,301.78,305.37,301.01,304.73,10691600
2025-04-28,304.15,309.11,302.97,309.07,9375500
2025-04-29,305.81,306.95,304,306.06,6852106
2025-04-30,304.61,306.07,303.44,303.77,8331900
2025-05-01,297.41,297.94,295.32,297.46,14969100
2025-05-02,300.17,300.85,297.03,297.98,8678400
2025-05-05,305.92,307.65,304.68,306.88,8924009
2025-05-06,313.12,315.62,311.4,315.48,11445300
2025-05-07,312.1,313.26,310.08,310.75,7910000
2025-05-08,309.76,310.48,303.05,304.63,11927600
2025-05-09,307.79,308.57,306.01,306.84,6913131
2025-05-12,298.33,299.47,296.82,298.19,14375900
2025-05-13,299.02,300.3,297.24,299.46,10233603
2025-05-14,293.67,294.8,291.96,293.16,14800600
2025-05-15,294.1,297.9,293.75,297.84,13497735
2025-05-16,292.62,294.58,291.78,294.24,14173039
2025-05-19,297.85,298.58,296.48,298.03,11656300
2025-05-20,298.35,303.68,298.3,303.58,12851000
2025-05-21,304.55,306.46,303.67,305.82,12414518
2025-05-22,305.09,305.28,302.1,303.11,9704200
2025-05-23,308.86,310.25,307.47,309.75,13339500
2025-05-27,303.81,304.88,302.74,304.5,9578500
2025-05-28,304.64,304.99,303.06,303.81,8803333
2025-05-29,305.74,306.89,304.46,305.61,9502412
2025-05-30,303.64,304.02,301.5,303.6,9553300
2025-06-02,309.21,311.72,308.72,311.67,13593232
2025-06-03,309.56,309.56,307.15,308.91,9315100
2025-06-04,309.41,311.88,308.74,310.9,7462529
2025-06-05,311.24,312.2,307.65,309.33,10856012
2025-06-06,309.09,309.2,305.1,305.18,7787508
